date_ref,district_ref,total_cases,total_cured,total_deaths,increase_cases,percent_increase_cases
22,4,73688,73673,582,0,0.0
22,5,46684,46503,429,0,0.0
22,6,31510,31445,293,0,0.0
22,7,52962,53098,437,0,0.0
22,8,60966,60955,601,0,0.0
22,9,44498,44425,351,0,0.0
22,10,93482,94239,411,1,0.0011
22,11,73764,74539,305,0,0.0
22,12,50287,50654,282,0,0.0
22,13,21453,21373,236,0,0.0
22,14,85628,86549,796,0,0.0
22,15,23162,23071,250,0,0.0
22,16,39553,39397,438,0,0.0
22,17,33233,33127,292,1,0.003
22,18,21465,21465,246,0,0.0
22,19,31736,31558,385,0,0.0
22,20,43081,42837,541,1,0.0023
22,21,22404,22296,228,0,0.0
22,22,36018,36049,447,0,0.0
22,23,93163,93275,730,2,0.0021
22,24,32325,32166,318,0,0.0
22,25,36729,36580,315,0,0.0
22,26,23382,23237,284,0,0.0
22,27,20263,20188,293,0,0.0
22,28,30356,30070,634,0,0.0
22,29,39097,39030,579,0,0.0
22,30,31771,31488,506,0,0.0
22,31,52776,52460,612,0,0.0
22,32,51185,50965,556,1,0.002
22,33,50758,50812,526,0,0.0
22,34,31901,31688,380,0,0.0
22,35,43655,43481,540,0,0.0
22,36,50731,50515,503,0,0.0
22,37,54662,54495,465,0,0.0
22,38,42260,42126,451,0,0.0
22,39,39919,39743,424,0,0.0
22,40,79021,79073,553,0,0.0
22,41,31707,31745,240,0,0.0
22,42,83432,83212,580,0,0.0
22,43,35682,35554,325,0,0.0
22,44,49357,48914,577,0,0.0
22,45,39160,39015,287,0,0.0
22,46,50732,50570,601,1,0.002
22,47,48400,48305,409,0,0.0
22,48,83791,83893,664,1,0.0012
22,49,46465,46345,440,0,0.0
22,50,64769,64579,525,0,0.0
22,51,40590,40686,428,0,0.0
22,52,47869,47954,448,0,0.0
22,53,30701,30661,280,0,0.0
22,54,42299,42187,385,0,0.0
22,55,51359,51423,384,0,0.0
22,56,46828,46557,598,0,0.0
22,57,175454,175408,1459,0,0.0
22,58,99926,99679,812,1,0.001
22,59,45857,45442,556,0,0.0
22,60,64675,64104,774,0,0.0
22,61,41708,41253,569,0,0.0
22,62,44629,44419,626,0,0.0
22,63,12720,12590,183,0,0.0
22,64,107957,107591,1026,0,0.0
22,65,48923,48663,427,0,0.0
22,66,56760,56658,507,0,0.0
22,67,51594,51316,474,0,0.0
22,68,46134,46120,525,0,0.0
22,69,63822,63681,499,1,0.0016
22,70,61533,61359,605,0,0.0
22,71,93400,93005,826,0,0.0
22,72,33440,33281,481,1,0.003
22,73,92374,92074,950,1,0.0011
22,74,101572,101192,1334,0,0.0
22,75,60434,60455,596,2,0.0033
22,76,83082,83326,704,0,0.0
22,77,134891,134613,1494,0,0.0
23,1,620068,624846,3990,5,0.0008
23,2,44697,44585,468,0,0.0
23,3,45871,46212,243,1,0.0022
23,4,73688,73673,582,0,0.0
23,5,46684,46503,429,0,0.0
23,6,31510,31445,293,0,0.0
23,7,52962,53098,437,0,0.0
23,8,60966,60955,601,0,0.0
23,9,44498,44425,351,0,0.0
23,10,93482,94239,411,0,0.0
23,11,73766,74539,305,2,0.0027
23,12,50287,50654,282,0,0.0
23,13,21453,21373,236,0,0.0
23,14,85628,86549,796,0,0.0
23,15,23162,23071,250,0,0.0
23,16,39553,39397,438,0,0.0
23,17,33233,33127,292,0,0.0
23,18,21465,21465,246,0,0.0
23,19,31736,31558,385,0,0.0
23,20,43081,42837,541,0,0.0
23,21,22404,22296,228,0,0.0
23,22,36018,36049,447,0,0.0
23,23,93163,93275,730,0,0.0
23,24,32326,32166,318,1,0.0031
23,25,36729,36580,315,0,0.0
23,26,23382,23237,284,0,0.0
23,27,20263,20188,293,0,0.0
23,28,30356,30070,634,0,0.0
23,29,39097,39030,579,0,0.0
23,30,31771,31488,506,0,0.0
23,31,52776,52460,612,0,0.0
23,32,51185,50965,556,0,0.0
23,33,50758,50812,526,0,0.0
23,34,31901,31688,380,0,0.0
23,35,43655,43481,540,0,0.0
23,36,50731,50515,503,0,0.0
23,37,54662,54495,465,0,0.0
23,38,42260,42126,451,0,0.0
23,39,39919,39743,424,0,0.0
23,40,79021,79073,553,0,0.0
23,41,31707,31745,240,0,0.0
23,42,83432,83213,580,0,0.0
23,43,35682,35554,325,0,0.0
23,44,49357,48914,577,0,0.0
23,45,39160,39015,287,0,0.0
23,46,50732,50570,601,0,0.0
23,47,48400,48305,409,0,0.0
23,48,83791,83894,664,0,0.0
23,49,46465,46345,440,0,0.0
23,50,64769,64579,525,0,0.0
23,51,40590,40686,428,0,0.0
23,52,47869,47954,448,0,0.0
23,53,30701,30661,280,0,0.0
23,54,42299,42187,385,0,0.0
23,55,51359,51424,384,0,0.0
23,56,46828,46557,598,0,0.0
23,57,175454,175408,1459,0,0.0
23,58,99926,99679,812,0,0.0
23,59,45857,45442,556,0,0.0
23,60,64675,64104,774,0,0.0
23,61,41709,41253,569,1,0.0024
23,62,44629,44419,626,0,0.0
23,63,12720,12590,183,0,0.0
23,64,107957,107591,1026,0,0.0
23,65,48923,48663,427,0,0.0
